Frame,Time (s),X,Y
0,0.0000,1190,581
7,0.1167,1208,552
8,0.1333,1199,555
9,0.1500,1175,554
10,0.1667,1163,587
11,0.1833,1165,584
12,0.2000,1166,581
13,0.2167,1144,550
14,0.2333,1176,545
15,0.2500,1174,544
16,0.2667,1157,548
17,0.2833,1139,559
18,0.3000,1090,570
19,0.3167,1098,557
20,0.3333,1085,566
21,0.3500,1079,562
22,0.3667,1081,571
23,0.3833,1048,533
24,0.4000,1038,551
25,0.4167,1023,539
26,0.4333,1031,527
27,0.4500,996,501
28,0.4667,987,499
29,0.4833,976,498
30,0.5000,956,531
31,0.5167,950,497
32,0.5333,937,494
33,0.5500,926,492
34,0.5667,929,505
36,0.6000,909,490
37,0.6167,912,491
38,0.6333,915,491
39,0.6500,921,490
40,0.6667,924,476
41,0.6833,911,478
42,0.7000,899,467
43,0.7167,873,455
44,0.7333,874,452
45,0.7500,873,453
46,0.7667,859,433
47,0.7833,854,431
48,0.8000,851,428
49,0.8167,851,408
50,0.8333,844,466
51,0.8500,835,423
52,0.8667,827,420
53,0.8833,820,416
54,0.9000,809,448
55,0.9167,805,443
56,0.9333,808,434
57,0.9500,806,425
58,0.9667,805,379
59,0.9833,807,370
60,1.0000,807,359
61,1.0167,809,349
62,1.0333,810,339
63,1.0500,810,330
64,1.0667,811,322
65,1.0833,828,346
66,1.1000,806,314
67,1.1167,801,313
68,1.1333,795,313
69,1.1500,816,327
71,1.1833,777,311
72,1.2000,771,308
73,1.2167,764,305
74,1.2333,756,303
75,1.2500,738,301
76,1.2667,729,301
77,1.2833,710,303
78,1.3000,691,305
79,1.3167,673,306
82,1.3667,641,297
83,1.3833,624,289
84,1.4000,626,287
85,1.4167,623,276
86,1.4333,621,274
87,1.4500,615,270
88,1.4667,609,267
89,1.4833,604,264
90,1.5000,603,269
91,1.5167,601,261
92,1.5333,601,259
93,1.5500,600,259
94,1.5667,613,296
95,1.5833,612,266
96,1.6000,592,256
97,1.6167,584,256
98,1.6333,579,252
99,1.6500,581,252
100,1.6667,562,246
102,1.7000,539,233
103,1.7167,530,231
105,1.7500,501,222
107,1.7833,510,203
108,1.8000,513,194
109,1.8167,520,187
110,1.8333,520,188
111,1.8500,517,172
112,1.8667,516,167
119,1.9833,510,123
122,2.0333,502,124
123,2.0500,516,110
124,2.0667,516,110
125,2.0833,512,110
126,2.1000,502,111
127,2.1167,502,108
128,2.1333,501,106
129,2.1500,497,100
130,2.1667,495,91
131,2.1833,492,88
132,2.2000,499,97
133,2.2167,505,128
134,2.2333,499,62
135,2.2500,499,61
137,2.2833,495,90
142,2.3667,489,70
143,2.3833,504,61
152,2.5333,484,15
